Description;Who;start;end
Grand Tour Opening: TBC;The Uni;20230424T093000;20230424T123000
Intro to the Module. Lecture;Barbs & Kévin;20230424T140000;20230424T153000
Module Intro Workshop;Barbs & Kévin;20230425T093000;20230425T113000
Intro Coaching & Leadership;Barbs;20230426T093000;20230426T110000
Watch Group Assignments ;Pre-recorded;20230426T140000;20230426T160000
Human (Maslow) Motivation  MC ;Barbs;20230427T093000;20230427T113000
Assignments Q&A;Barbs;20230427T113000;20230427T120000
Field Trip # 1 - Bali Village;The Uni;20230428T090000;20230428T160000
Holiday;none;20230501T010000;20230501T000000
WS Group Norms;Barbs & Kévin;20230502T093000;20230502T113000
Values MC;Barbs;20230503T093000;20230503T103000
Values WS;Barbs;20230503T103000;20230503T153000
Ikigai  MC;Barbs;20230504T093000;20230504T103000
PB WS3  Ikigai;Barbs;20230504T103000;20230504T120000
Personality Profiling– MC Myers Briggs;GL: Dian;20230505T093000;20230505T103000
Myers Briggs (MBTI) WS;GL: Dian;20230505T103000;20230505T123000
Professional Coaching Tools MC;Kévin ;20230508T093000;20230508T103000
Professional Coaching Tools WS;Kévin ;20230508T103000;20230508T123000
SLS Pitch Ideas ;Barbs;20230509T093000;20230509T110000
Peer Coaching 1: Coaching Skills;Kévin & Barbs;20230509T113000;20230509T133000
Peer Coaching 2: Coaching Skills;Kévin & Barbs;20230510T093000;20230510T113000
Mid-term evaluation | Date and time TBC;Mark & Budi;20230510T120000;20230510T123000
Presentations Skills MC;GL: Felix Schaefer;20230511T093000;20230511T103000
Personal Brand (WS) Presentation Skills ;GL: Felix Schaefer;20230511T103000;20230511T123000
Visa Document Submission in Lobby: ;Hesdy;20230511T123000;20230511T131500
Field trip # 2 - Five elements;Barbs & Kévin;20230512T090000;20230512T153000
Human Potential Part 1 MC;Kévin ;20230515T093000;20230515T103000
Human Potential Part 1 WS;Kévin ;20230515T103000;20230515T123000
Human Potential Part 2 MC;Kévin ;20230516T093000;20230516T103000
Human Potential Part 2 WS;Kévin ;20230516T103000;20230516T123000
Coaching WS 3 Coaching Demo;Kévin ;20230517T093000;20230517T123000
HOLIDAY;0;20230518T010000;20230518T000000
ICL Class Team review & Peer coaching;Barbs & Kévin;20230522T093000;20230522T113000
Intro Team Dvlp High Performing Teams ***2pm class with EIA;Barbs;20230522T113000;20230522T130000
Immigration visit;Hesdy ;20230523T070000;20230523T120000
Emotional Intelligence MC;Barbs;20230523T013000;20230523T150000
Coaching WS Peak States;Barbs:;20230523T030000;20230523T163000
Conscious Communication MC+WS;Barbs;20230524T093000;20230524T123000
Field trip # 4 CSR;With the EIA group;20230525T083000;20230525T120000
Field trip # 5 - Bali Meditation Center;9-12noon;20230526T090000;20230526T120000
Team dynamics  MC;Barbs;20230529T093000;20230529T110000
Team Building  WS;Kévin;20230529T113000;20230529T140000
High Performing Habits WS;Barbs;20230530T100000;20230530T120000
ONLINE on CAMPUS - Inspirational Talk: The Future of Work ;Lavinia Iosub;20230530T123000;20230530T140000
Conflict Management MC;Juna Mustad c/o BM;20230531T093000;20230531T113000
Conflict Management WS;Juna Mustad c/o BM;20230531T113000;20230531T133000
HOLIDAY;0;20230601T010000;20230601T235900
SLS;Barbs & Kévin;20230605T093000;20230605T130000
SLS;Barbs & Kévin;20230606T093000;20230606T120000
SLS;Barbs & Kévin;20230607T093000;20230607T120000
Pitch Presentation;Barbs & Kévin;20230612T093000;20230612T123000
Pitch Presentation;Barbs & Kévin;20230613T093000;20230613T123000
Pitch Presentation;Barbs & Kévin;20230614T093000;20230614T120000
Adjourning Team Huddle;Barbs & Kévin;20230615T093000;20230615T113000
