Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Grand Tour Opening: TBC,04/24/2023,9:30,04/24/2023,12:30,FALSE,The Uni,,
Intro to the Module. Lecture,04/24/2023,14:00,04/24/2023,15:30,FALSE,Barbs & Kévin,,
Module Intro Workshop,04/25/2023,9:30,04/25/2023,11:30,FALSE,Barbs & Kévin,,
Intro Coaching & Leadership,04/26/2023,9:30,04/26/2023,11:00,FALSE,Barbs,,
Watch Group Assignments ,04/26/2023,14:00,04/26/2023,16:00,FALSE,Pre-recorded,,
Human (Maslow) Motivation  MC,04/27/2023,9:30,04/27/2023,11:30,FALSE,Barbs,,
Assignments Q&A,04/27/2023,11:30,04/27/2023,12:00,FALSE,Barbs,,
Field Trip # 1 - Bali Village,04/28/2023,9:00,04/28/2023,16:00,FALSE,The Uni,,
Holiday,05/01/2023,1:00,05/01/2023,0:00,TRUE,none,,
WS Group Norms,05/02/2023,9:30,05/02/2023,11:30,FALSE,Barbs & Kévin,,
Values MC,05/03/2023,9:30,05/03/2023,10:30,FALSE,Barbs,,
Values WS,05/03/2023,10:30,05/03/2023,15:30,FALSE,Barbs,,
Ikigai  MC,05/04/2023,9:30,05/04/2023,10:30,FALSE,Barbs,,
PB WS3  Ikigai,05/04/2023,10:30,05/04/2023,12:00,FALSE,Barbs,,
Personality Profiling– MC Myers Briggs,05/05/2023,9:30,05/05/2023,10:30,FALSE,GL: Dian,,
Myers Briggs (MBTI) WS,05/05/2023,10:30,05/05/2023,12:30,FALSE,GL: Dian,,
Professional Coaching Tools MC,05/08/2023,9:30,05/08/2023,10:30,FALSE,Kévin ,,
Professional Coaching Tools WS,05/08/2023,10:30,05/08/2023,12:30,FALSE,Kévin ,,
SLS Pitch Ideas,05/09/2023,9:30,05/09/2023,11:00,FALSE,Barbs,,
Peer Coaching 1: Coaching Skills,05/09/2023,11:30,05/09/2023,13:30,FALSE,Kévin & Barbs,,
Peer Coaching 2: Coaching Skills,05/10/2023,9:30,05/10/2023,11:30,FALSE,Kévin & Barbs,,
Mid-term evaluation | Date and time TBC,05/10/2023,12:00,05/10/2023,12:30,FALSE,Mark & Budi,,
Presentations Skills MC,05/11/2023,9:30,05/11/2023,10:30,FALSE,GL: Felix Schaefer,,
Personal Brand (WS) Presentation Skills,05/11/2023,10:30,05/11/2023,12:30,FALSE,GL: Felix Schaefer,,
Visa Document Submission in Lobby,05/11/2023,12:30,05/11/2023,13:15,FALSE,Hesdy,,
Field trip # 2 - Five elements,05/12/2023,9:00,05/12/2023,15:30,FALSE,Barbs & Kévin,,
Human Potential Part 1 MC,05/15/2023,9:30,05/15/2023,10:30,FALSE,Kévin ,,
Human Potential Part 1 WS,05/15/2023,10:30,05/15/2023,12:30,FALSE,Kévin ,,
Human Potential Part 2 MC,05/16/2023,9:30,05/16/2023,10:30,FALSE,Kévin ,,
Human Potential Part 2 WS,05/16/2023,10:30,05/16/2023,12:30,FALSE,Kévin ,,
Coaching WS 3 Coaching Demo,05/17/2023,9:30,05/17/2023,12:30,FALSE,Kévin ,,
HOLIDAY,05/18/2023,1:00,05/18/2023,0:00,TRUE,0,,
ICL Class Team review & Peer coaching,05/22/2023,9:30,05/22/2023,11:30,FALSE,Barbs & Kévin,,
Intro Team Dvlp High Performing Teams ***2pm class with EIA,05/22/2023,11:30,05/22/2023,13:00,FALSE,Barbs,,
Immigration visit,05/23/2023,7:00,05/23/2023,12:00,FALSE,Hesdy ,,
Emotional Intelligence MC,05/23/2023,1:30,05/23/2023,15:00,FALSE,Barbs,,
Coaching WS Peak States,05/23/2023,3:00,05/23/2023,16:30,FALSE,Barbs:,,
Conscious Communication MC+WS,05/24/2023,9:30,05/24/2023,12:30,FALSE,Barbs,,
Field trip # 4 CSR,05/25/2023,8:30,05/25/2023,12:00,FALSE,With the EIA group,,
Field trip # 5 - Bali Meditation Center,05/26/2023,9:00,05/26/2023,12:00,FALSE,9-12noon,,
Team dynamics MC,05/29/2023,9:30,05/29/2023,11:00,FALSE,Barbs,,
Team Building WS,05/29/2023,11:30,05/29/2023,14:00,FALSE,Kévin,,
High Performing Habits WS,05/30/2023,10:00,05/30/2023,12:00,FALSE,Barbs,,
ONLINE on CAMPUS - Inspirational Talk: The Future of Work,05/30/2023,12:30,05/30/2023,14:00,FALSE,Lavinia Iosub,,
Conflict Management MC,05/31/2023,9:30,05/31/2023,11:30,FALSE,Juna Mustad c/o BM,,
Conflict Management WS,05/31/2023,11:30,05/31/2023,13:30,FALSE,Juna Mustad c/o BM,,
HOLIDAY,06/01/2023,1:00,06/01/2023,23:59,TRUE,0,,
SLS,06/05/2023,9:30,06/05/2023,13:00,FALSE,Barbs & Kévin,,
SLS,06/06/2023,9:30,06/06/2023,12:00,FALSE,Barbs & Kévin,,
SLS,06/07/2023,9:30,06/07/2023,12:00,FALSE,Barbs & Kévin,,
Pitch Presentation,06/12/2023,9:30,06/12/2023,12:30,FALSE,Barbs & Kévin,,
Pitch Presentation,06/13/2023,9:30,06/13/2023,12:30,FALSE,Barbs & Kévin,,
Pitch Presentation,06/14/2023,9:30,06/14/2023,12:00,FALSE,Barbs & Kévin,,
Adjourning Team Huddle,06/15/2023,9:30,06/15/2023,11:30,FALSE,Barbs & Kévin,,
